
  DAILY TOTAL RAIN
  ISLAMABAD AIRPOR  2004
              JAN      FEB      MAR      APR      MAY      JUN     JULY      AUG      SEP      OCT      NOV      DEC

       DATE  -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
         1     -1.0     -1.0      0.0      0.0     32.0      0.0      0.0      6.0      0.0      0.0      0.0      0.0
         2      2.0      0.0      0.0      0.0      0.0      0.0      0.0      5.0      2.0 TR            0.0      0.0
         3      0.0      0.0      0.0      0.0      0.0      0.0      0.0      9.0      0.0 TR            0.0      0.0
         4      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0
         5     -1.0      0.0      0.0      0.0      0.0      0.0      6.0      0.0      0.0      0.0      0.0      0.0
         6     -1.0      0.0      0.0      0.0      0.0      0.0      3.5      0.0      0.0      0.0      0.0      0.0
         7      0.0      0.0      0.0      0.0      0.0      5.0      0.0    135.0      0.0      0.0      0.0      0.0
         8      0.0      0.0      0.0       TR       TR      0.0      0.0     21.0      0.0      0.0      0.0      0.0
         9     -1.0      6.0      0.0      3.0       TR     13.0     20.0     23.0      0.0      0.0      0.0      0.0
        10      0.0     19.0      0.0       TR      0.0      0.0      0.0     25.0      0.0     32.0      0.0      0.0
        11      0.0      0.0      0.0      0.0      0.0      0.0      0.0     27.0      0.0     29.0      0.0      0.0
        12      0.0      0.0     -1.0      0.0      0.0 TR       TR            0.0      0.0 TR            0.0      0.0
        13     -1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0
        14      0.0      0.0      0.0      0.0      0.0      0.0     21.0      0.0      0.0      0.0      0.0      0.0
        15      0.0      0.0      0.0      0.0      0.0     50.0      0.0      7.0      0.0      0.0      0.0      0.0
        16      0.0      0.0      0.0      0.0      0.0     12.0      2.0      2.0     12.0      0.0      0.0      0.0
        17      5.0      0.0      0.0      1.0      2.0      0.0      0.0      7.0      0.0      0.0      0.0      0.0
        18      7.0     16.0      0.0      0.0      0.0     17.0      0.0     12.0      0.0      0.0      0.0      0.0
        19      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      9.0      0.0      0.0
        20      0.0      0.0      0.0      0.0      0.0      0.0      6.0      0.0      0.0      0.0      0.0     28.0
        21      2.0     -1.0      0.0      1.0      0.0      0.0 TR           18.0      2.0      5.0      0.0 TR
        22     42.8      0.0     -1.0       TR      0.0     16.0      0.0      0.0 TR            0.0      0.0      0.0
        23     25.0      0.0      0.0     21.0      0.0      0.0      0.0      2.0      0.0      0.0     TR         TR
        24     20.0      0.0      0.0       TR      0.0     11.0      0.0      0.0      0.0      0.0      0.0      0.0
        25      0.0      0.0      0.0      0.0      0.0      0.0      0.0     12.0      0.0      0.0      0.0      0.0
        26      0.0      0.0      0.0      0.0      0.0      0.0      0.0 TR            0.0      0.0      0.0      0.0
        27      0.0      7.0      0.0       TR      4.0      6.0      0.0      0.0      0.0      1.0      0.0      0.0
        28      0.0      0.0      0.0     10.0      1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0
        29      0.0      0.0      0.0      9.0      0.0      0.0     33.0      0.0      0.0      0.0      0.0      0.0
        30     27.0               0.0     33.0      0.0      0.0     37.0      2.0      0.0      0.0     22.0      TR
        31     16.0               0.0               1.0          TR            0.0               0.0               TR
