  DAILY TOTAL RAIN
  ISLAMABAD AIRPOR 2005   ( -1 & tr means trace )
              JAN      FEB      MAR      APR      MAY      JUN     JULY      AUG      SEP      OCT      NOV      DEC

  DATE      -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
         1     38.0      0.0      0.0      0.0      0.0      0.0     10.0      0.0      0.0      0.0      0.0      0.0
         2      2.0      0.0      1.0      0.0      0.0      0.0     12.0      0.0      0.0      0.0      0.0      0.0
         3      1.0     -1.0     -1.0      0.0      7.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0
         4      0.0      3.0      2.0      0.0      3.0      0.0      0.0     27.0      0.0      0.0      0.0      0.0
         5      0.0      1.0     -1.0      0.0      0.0      0.0      0.0     25.0      0.0      0.0      0.0      0.0
         6      0.0     12.0      3.0      0.0      0.0      0.0       TR      TR       0.0      0.0      0.0      0.0
         7      0.0     42.0      0.0      0.0      0.0      0.0      0.0     16.0     33.0      0.0      0.0      0.0
         8      0.0      8.0      0.0      0.0      6.0      0.0      0.0      6.0      TR       0.0      0.0      0.0
         9     -1.0     32.0      0.0      0.0      0.0      0.0      1.0      TR       4.0     10.0      0.0      0.0
        10      0.0     29.0      7.0      0.0      0.0      9.0      0.0      0.0      3.0      0.0      0.0      0.0
        11      0.0     32.0     -1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0 TR            0.0
        12      0.0     14.0      0.0      0.0      0.0      0.0     50.0     16.0     13.0      4.0      0.0      0.0
        13      0.0      0.0      0.0      0.0      0.0      2.0     14.0     10.0      2.0      0.0      0.0      0.0
        14      1.0      0.0      0.0      0.0      0.0      0.0      1.0      0.0      0.0      0.0      0.0      0.0
        15      0.0      0.0      0.0      0.0      0.0      0.0       TR      0.0      0.0      0.0      0.0      0.0
        16      0.0     11.0     -1.0      0.0      0.0      0.0     23.0     24.0      0.0     14.0      0.0      0.0
        17      0.0      0.0     -1.0      0.0      0.0      0.0     18.0       TR      0.0      8.0      0.0      0.0
        18      0.0     -1.0     16.0      0.0      0.0      0.0       TR      4.0     31.0      0.0      0.0      0.0
        19      0.0     26.0     18.0      0.0      2.0      TR       0.0      0.0      0.0      0.0      0.0      0.0
        20      0.0     -1.0      3.0      0.0      2.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0
        21      0.0      3.0      2.0      0.0       TR      0.0      3.0     20.0      0.0      0.0      0.0      0.0
        22     29.0      0.0     23.0      0.0      0.0      0.0      6.0     12.0      0.0      0.0      0.0      0.0
        23      9.0      0.0     -1.0      0.0       TR      0.0     15.0      2.0      TR       0.0      0.0      0.0
        24      0.0      0.0      1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0
        25     -1.0      0.0      0.0      0.0      0.0      0.0      0.0      5.0      0.0      0.0      0.0      0.0
        26      0.0      0.0     -1.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0
        27     -1.0      0.0      6.0      0.0      0.0      0.0     17.0     39.0      TR       0.0      5.0      0.0
        28     17.0      0.0      5.0      0.0      0.0      0.0      4.0      5.0      0.0      0.0      1.0      0.0
        29     -1.0               0.0      0.0      0.0      5.0      0.0      0.0      0.0      0.0      0.0      0.0
        30      0.0               0.0      0.0      0.0      0.0      7.0      0.0      0.0      0.0      0.0      0.0
        31      0.0               0.0              13.0               0.0      0.0               0.0               0.0
