  DAILY TOTAL RAIN
  MURREE 2004
              JAN      FEB      MAR      APR      MAY      JUN     JULY      AUG      SEP      OCT      NOV      DEC

       DATE  -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
         1      1.3      2.5      0.0      0.0     46.5      0.0      0.0     40.0      0.0      0.0      0.0      1.0
         2     14.0      0.0      0.0      0.0      0.0      2.0      0.0 TR           14.3      1.5      0.0      0.0
         3      0.0      0.0      0.0      0.0      0.0      0.0      0.0     20.0      0.0      0.5      0.0      0.0
         4      0.0      0.0      0.0      0.0      0.0      0.0      3.0      0.0      0.0      0.0      0.0      0.0
         5      0.0      0.0      0.0      0.0      0.0      0.0     10.0      0.0      0.0      0.0      0.0      0.0
         6     22.9      0.0      0.0      0.0      0.0      0.0      2.0      0.0      0.0      0.0      0.0      0.0
         7      0.0      0.0      0.0      0.0      0.0      0.4      1.0     41.0      0.0      0.0      0.0      0.0
         8      0.0      0.0      0.0      7.0     13.9      0.0      0.0     46.0      0.0      0.0      0.0      0.0
         9      0.6      7.9      0.0     13.2       TR     15.0     43.0      9.0      0.0      0.0      0.0      0.0
        10      0.0     11.0      0.0      0.0      0.0      0.0      0.0      1.0      0.0     28.0      0.0      0.0
        11      0.0      0.0      0.0      0.0      0.0      0.0      0.0      1.0      0.0    101.1      0.0      0.0
        12      0.0      0.0      0.5      0.0      0.0      9.6     10.7      0.0      0.0      0.5      0.0      0.0
        13      0.0      0.0      0.0 TR            0.0      0.0      0.0      0.0      0.0      0.0      0.0      0.0
        14      0.0      0.0      0.0      0.0      0.0      0.0     29.0      0.0      0.0      0.0      0.0      0.0
        15      0.0      0.0      0.0      0.0      0.0      8.7      0.0     15.0      4.5      0.0      0.0      0.0
        16      0.0      0.0      0.0      0.0      0.0      5.0      1.0      2.0     27.3      0.0      0.0      0.0
        17      8.0      0.0      0.0      1.0      0.7      0.0      0.0     30.0      1.0      0.0      0.0      0.0
        18     10.3     23.0      0.0      0.0      0.0     10.0      0.0      9.0      0.0      0.0      0.0      0.0
        19      0.0      0.0      0.0      0.0      0.0      0.0      0.0 TR            0.0     15.0      0.0      0.0
        20      0.0      0.0      0.0      2.0      0.0 TR            1.0      0.0      0.0      0.0      0.0     18.4
        21      6.0      0.0      0.0      4.5      0.0      1.0      3.0     25.0     27.0      8.0      0.0      3.1
        22     55.0      0.4      5.0      0.7      0.0      4.3      0.0      0.0      0.0      0.0      0.0      0.0
        23     20.0      0.0       TR     36.0      0.0      4.0      0.0      1.7      0.0      0.0        TR     3.0
        24     30.0      0.0      0.0      2.0     12.0     38.0      0.0      0.0      0.0      0.0      0.0 TR
        25      0.0      0.0      0.0      0.0      0.0      4.0      0.0     39.0      0.0      0.0      0.0      0.0
        26      0.0      0.0      0.0      0.0      0.3      0.0      0.0     34.0      0.0      1.3      0.0      0.0
        27      0.0     23.0      0.0      6.0     22.6      3.0      0.0      0.0      0.0      8.7      0.0      0.0
        28     -1.0      0.0      0.0     28.2      1.4      0.0      7.0      9.0      0.0      0.0      0.0      0.0
        29     -1.0      0.0      0.0     18.0      0.0      0.0     21.0      0.0      0.0      0.0      0.0      0.0
        30     39.4      0.0      0.0     45.2      0.0      0.0     24.0      4.0      0.0      0.0     40.0      0.0
        31     25.3                                 4.0              20.0      0.2               0.0               2.0
